,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
492,Suspected Physical Attack,2011,12/8/2011,8:45 AM,12/8/2011,4:30 PM,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
493,Severe Weather,2011,12/7/2011,7:29 PM,12/7/2011,10:57 PM,Dominion Virginia Power,Virginia,SERC,240,"60,000",severe weather,37.926868,-78.024902,,
494,Public Appeal to Reduce Electricity Usage,2011,12/6/2011,8:00 AM,12/6/2011,8:00 PM,Montana Dakota Utilities,North Dakota,MRO,155,"34,500",public appeal,47.650589,-100.437012,,
495,Suspected Physical Attack,2011,12/6/2011,5:38 PM,12/7/2011,11:04 AM,ITC Holdings,Michigan,RFC,0,0,"vandalism, physical",44.182205,-84.506836,,
496,Suspected Physical Attack,2011,12/5/2011,2:00 PM,12/6/2011,5:00 PM,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
497,Suspected Physical Attack,2011,12/2/2011,4:15 PM,12/2/2011,8:30 PM,Luminant Energy Company LLC,Texas,TRE,,,"vandalism, physical",31,-100,,
498,Severe Weather,2011,12/1/2011,12:45 AM,12/7/2011,9:00 PM,Southern California Edison (SCE),California,WECC,UNK,"91,690",severe weather,36.778259,-119.417931,,
499,Severe Weather,2011,12/1/2011,10:00 AM,12/2/2011,1:11 PM,PacifiCorp,Utah,WECC,UNK,"60,000",severe weather,39.41922,-111.950684,,
500,Severe Weather,2011,12/1/2011,3:29 AM,12/2/2011,1:05 PM,Pacific Gas and Electric,California,WECC,300,"100,000",severe weather,36.778259,-119.417931,,
501,Vandalism,2011,11/30/2011,10:00 AM,11/30/2011,11:00 AM,City of Tacoma - TPWR,Washington,WECC,0,0,vandalism,47.751076,-120.740135,,
502,Severe Weather,2011,11/30/2011,4:56 PM,12/2/2011,10:00 AM,Los Angeles Department of Water and Power,California,WECC,UNK,"150,000",severe weather,36.778259,-119.417931,,
503,Suspected Physical Attack,2011,11/22/2011,11:16 PM,11/22/2011,11:16 PM,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical",40.273502,-86.126976,,
504,Vandalism,2011,11/14/2011,2:24 PM,11/14/2011,2:24 PM,Atlantic City Electric,New Jersey,RFC,0,0,vandalism,39.833851,-74.871826,,
505,Vandalism,2011,11/13/2011,11:30 AM,11/13/2011,12:00 PM,ISO New England / obo Public Service of New Hampshire,New Hampshire,NPCC,0,0,vandalism,44,-71.5,,
506,Vandalism,2011,11/4/2011,10:46 AM,11/4/2011,10:46 AM,PacifiCorp,Wyoming,WECC,0,0,vandalism,43.07597,-107.290283,,
507,Severe Weather,2011,10/29/2011,12:57 PM,11/3/2011,11:00 PM,PPL Electric Utilities,Pennsylvania,RFC,UNK,"146,721",severe weather,41.203323,-77.194527,,
508,Severe Weather,2011,10/29/2011,4:16 PM,11/2/2011,9:30 PM,"Consolidated Edison Company of NY, Inc",New York,NPCC,UNK,"50,000",severe weather,43,-75,,
509,Severe Weather,2011,10/29/2011,8:00 PM,10/31/2011,8:00 PM,"Orange and Rockland Utilities, Inc","New Jersey, New York","NPCC, RFC",,"74,000",severe weather,39.833851,-74.871826,,
510,Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,7:58 PM,Metropolitan Edison Company,Pennsylvania,RFC,UNK,"312,359",severe weather,41.203323,-77.194527,,
511,Severe Weather,2011,10/29/2011,4:14 PM,11/7/2011,4:00 PM,ISO New England,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island",NPCC,UNK,"1,418,100",severe weather,41.599998,-72.699997,,
512,Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,3:00 PM,Potomac Edison,Pennsylvania,RFC,UNK,"50,000",severe weather,41.203323,-77.194527,,
513,Severe Weather,2011,10/29/2011,2:00 PM,10/31/2011,14:00,Exelon Corporation/PECO,Pennsylvania,RFC,UNK,"109,335",severe weather,41.203323,-77.194527,,
514,Severe Weather,2011,10/29/2011,9:59 AM,11/7/2011,1:00 PM,Jersey Central Power & Light Company,New Jersey,RFC,UNK,"379,000",severe weather,39.833851,-74.871826,,
515,Severe Weather,2011,10/29/2011,2:30 PM,11/6/2011,12:00 PM,Public Service Electric and Gas Company,New Jersey,RFC,125,"197,000",severe weather,39.833851,-74.871826,,
516,Severe Weather,2011,10/29/2011,3:00 PM,11/2/2011,8:15 AM,Central Hudson Gas & Electric Corp.,New York,NPCC,,"145,000",severe weather,43,-75,,
517,Severe Weather,2011,10/29/2011,11:18 AM,11/4/2011,12:00 AM,New York State Elec & Gas Corp,New York,NPCC,UNK,"161,151",severe weather,43,-75,,
518,Vandalism,2011,10/27/2011,1:00 AM,10/27/2011,2:36 AM,Midwest ISO,Indiana,RFC,,,vandalism,40.273502,-86.126976,,
519,Severe Weather,2011,10/26/2011,5:00 AM,10/27/2011,3:00 PM,Public Service Company of Colorado,Colorado,WECC,UNK,"204,000",severe weather,39.113014,-105.358887,,
520,Suspected Physical Attack,2011,10/24/2011,11:37 PM,10/26/2011,11:00 PM,PJM Interconnection,Pennsylvania,RFC,0,0,"vandalism, physical",41.203323,-77.194527,,
521,Vandalism,2011,10/20/2011,7:15 AM,10/20/2011,7:15 AM,Atlantic City Electric,New Jersey,RFC,0,0,vandalism,39.833851,-74.871826,,
522,Suspected Physical Attack,2011,10/18/2011,3:45 AM,10/18/2011,5:25 AM,PECO Energy,Pennsylvania,RFC,0,0,"vandalism, physical",41.203323,-77.194527,,
523,Vandalism,2011,10/17/2011,3:44 PM,10/17/2011,3:44 PM,Duke Energy,Ohio,RFC,7,"2,000",vandalism,40.367474,-82.996216,,
524,Vandalism,2011,10/17/2011,3:34 AM,10/17/2011,10:42 AM,Potomac Electric Power Company,Maryland,RFC,0,0,vandalism,39.045753,-76.641273,,
525,Vandalism,2011,10/14/2011,2:20 PM,10/14/2011,2:20 PM,Atlantic City Electric,New Jersey,RFC,0,0,vandalism,39.833851,-74.871826,,
526,Suspected Physical Attack,2011,10/7/2011,8:04 AM,10/7/2011,4:00 PM,City of Tacoma - TPWR,Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
527,Vandalism,2011,10/6/2011,11:07 AM,10/6/2011,11:07 AM,PacifiCorp,Utah,WECC,0,0,vandalism,39.41922,-111.950684,,
528,Suspected Physical Attack,2011,9/30/2011,8:22 AM,9/30/2011,8:22 AM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
529,Vandalism,2011,9/29/2011,6:44 PM,9/30/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
530,Severe Weather,2011,9/29/2011,5:00 AM,9/30/2011,6:00 AM,CenterPoint Energy,Texas,TRE,,65000,severe weather,31,-100,,
531,Suspected Physical Attack,2011,9/28/2011,4:41 PM,9/28/2011,4:41 PM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
532,Vandalism,2011,9/28/2011,2:59 PM,9/28/2011,2:59 PM,Atlantic City Electric,New Jersey,RFC,0,0,vandalism,39.833851,-74.871826,,
533,Vandalism,2011,9/28/2011,9:30 AM,9/28/2011,1:00 PM,ISO New England/Convex,Connecticut,NPCC,,,vandalism,41.599998,-72.699997,,
534,Vandalism,2011,9/26/2011,10:15 AM,9/26/2011,10:15 AM,Atlantic City Electric,New Jersey,RFC,0,0,vandalism,39.833851,-74.871826,,
535,Vandalism,2011,9/24/2011,4:17 PM,9/25/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
536,Vandalism,2011,9/23/2011,9:04 AM,9/23/2011,9:04 AM,The United Illuminating Company,Connecticut,NPCC,0,0,vandalism,41.599998,-72.699997,,
537,Vandalism,2011,9/22/2011,2:50 PM,9/22/2011,2:51 PM,Dayton Power & Light,Ohio,RFC,,0,vandalism,40.367474,-82.996216,,
538,Generation Inadequacy; Load Shed,2011,9/21/2011,2:37 PM,9/21/2011,3:47 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"319,616",load shedding,18.2208,66.5901,,
539,Suspected Physical Attack,2011,9/21/2011,10:30 AM,9/21/2011,10:30 AM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
540,Vandalism,2011,9/20/2011,12:55 PM,9/20/2011,5:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
541,Vandalism,2011,9/14/2011,9:00 AM,9/14/2011,2:00 PM,PacifiCorp,Utah,WECC,0,0,vandalism,39.41922,-111.950684,,
542,Vandalism,2011,9/13/2011,2:03 PM,9/13/2011,6:21 PM,New York Power Authority,New York,NPCC,,0,vandalism,43,-75,,
543,Vandalism,2011,9/13/2011,11:43 AM,9/14/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
544,Vandalism,2011,9/12/2011,9:15 AM,9/12/2011,3:30 PM,Atlantic City Electric,New Jersey,RFC,0,0,vandalism,39.833851,-74.871826,,
545,Vandalism,2011,9/8/2011,7:53 PM,9/9/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
546,Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,2011,9/8/2011,3:28 PM,9/10/2011,3:30 PM,WECC Reliability Coordinator,"Arizona, California",WECC,"7,000","2,000,000","transmission interruption, distribution interruption",34.048927,-111.093735,,
547,Actual Physical Attack,2011,9/7/2011,12:08 AM,9/7/2011,10:50 AM,ISO New England,"Connecticut, New York",NPCC,0,0,"vandalism, physical",41.599998,-72.699997,,
548,Severe Weather,2011,9/5/2011,4:30 PM,9/7/2011,3:45 PM,Southern Company,"Alabama, Georgia",SERC,177,"53,295",severe weather,32.31823,-86.902298,,
549,Severe Weather,2011,9/3/2011,2:00 PM,9/8/2011,6:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,UNK,"105,000",severe weather,44.182205,-84.506836,,
550,Vandalism,2011,9/1/2011,8:13 AM,9/1/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
551,Suspected Physical Attack,2011,8/31/2011,12:52 PM,8/31/2011,12:52 PM,Duke Energy,Ohio,RFC,0,0,"vandalism, physical",40.367474,-82.996216,,
552,Suspected Physical Attack,2011,8/28/2011,8:55 PM,8/28/2011,11:39 PM,PacifiCorp,Oregon,WECC,0,0,"vandalism, physical",44,-120.5,,
553,Severe Weather,2011,8/28/2011,12:30 PM,8/28/2011,12:31 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,,"116,000",severe weather,43,-75,,
554,Severe Weather,2011,8/28/2011,12:10 PM,8/28/2011,12:11 PM,ISO New England,Massachusetts,NPCC,,"50,000",severe weather,42.407211,-71.382439,,
555,Severe Weather,2011,8/28/2011,7:40 AM,8/29/2011,7:40 AM,The United illuminating Company,Connecticut,NPCC,,"158,000",severe weather,41.599998,-72.699997,,
556,Severe Weather,2011,8/28/2011,5:01 AM,9/3/2011,5:01 AM,"Consolidated Edison Company of NY, Inc.",New York,NPCC,,50000,severe weather,43,-75,,
557,Severe Weather,2011,8/28/2011,5:00 AM,8/30/2011,5:00 AM,Long Island Power Authority,New York,NPCC,UNK,"152,261",severe weather,43,-75,,
558,Severe Weather,2011,8/28/2011,2:58 AM,8/30/2011,2:58 AM,PPL Electric Utilities,Pennsylvania,RFC,110,"284,000",severe weather,41.203323,-77.194527,,
559,Severe Weather,2011,8/28/2011,12:30 AM,8/30/2011,12:30 AM,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,RFC,,"650,000",severe weather,39.833851,-74.871826,,
560,Severe Weather,2011,8/28/2011,12:23 AM,8/30/2011,12:23 AM,Public Service Electric and Gas Company,New Jersey,RFC,500,"665,000",severe weather,39.833851,-74.871826,,
561,Severe Weather,2011,8/28/2011,7:00 AM,9/3/2011,12:01 AM,New York State Electric & Gas Corporation,New York,NPCC,UNK,"99,700",severe weather,43,-75,,
562,Severe Weather,2011,8/28/2011,9:42 AM,8/30/2011,12:01 AM,Niagara Mohawk Power Corporation,New York,NPCC,,"100,000",severe weather,43,-75,,
563,Severe Weather,2011,8/28/2011,12:01 AM,8/30/2011,12:01 AM,Central Hudson Gas & Electric,New York,NPCC,,"180,000",severe weather,43,-75,,
564,Severe Weather,2011,8/27/2011,8:30 PM,9/4/2011,11:30 PM,Baltimore Gas and Electric Company,Maryland,RFC,"1,114","760,113",severe weather,39.045753,-76.641273,,
565,Severe Weather,2011,8/27/2011,2:57 AM,8/29/2011,11:30 PM,Progress Energy Carolinas,North Carolina,SERC,UNK,"285,465",severe weather,35.782169,-80.793457,,
566,Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,10:00 PM,Exelon Corporation / PECO,Pennsylvania,RFC,,"264,000",severe weather,41.203323,-77.194527,,
567,Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,4:00 PM,Atlantic City Electric Company,New Jersey,RFC,320,"140,000",severe weather,39.833851,-74.871826,,
568,Severe Weather,2011,8/27/2011,11:05:00 p.m.,8/29/2011,3:30 PM,Pepco,Maryland,RFC,,"220,000",severe weather,39.045753,-76.641273,,
569,Severe Weather,2011,8/27/2011,10:33 AM,8/29/2011,2:00 PM,Dominion Virginia Power,Virginia,SERC,UNK,"1,000,000",severe weather,37.926868,-78.024902,,
570,Severe Weather,2011,8/27/2011,7:00 PM,8/29/2011,1:31 PM,North Carolina Eastern Municipal Power Agency,North Carolina,SERC,200,"136,000",severe weather,35.782169,-80.793457,,
571,Severe Weather,2011,8/27/2011,1:00 PM,8/29/2011,1:00 PM,Delmarva Power & Light Company,"Delaware, Maryland",RFC,,"165,000",severe weather,39,-75.5,,
572,Severe Weather,2011,8/27/2011,11:00 PM,8/29/2011,8:00 AM,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,"108,000",severe weather,39.045753,-76.641273,,
573,Distribution System Interruption,2011,8/27/2011,2:00 AM,8/27/2011,5:15 AM,Town of Stantonsburg JRO,North Carolina,SERC,2,"1,200",distribution interruption,35.782169,-80.793457,,
574,Severe Weather,2011,8/26/2011,12:30 AM,8/28/2011,12:30 AM,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,,"200,717",severe weather,41.203323,-77.194527,,
575,Severe Weather,2011,8/25/2011,12:30 AM,8/28/2011,8:00 PM,FirstEnergy Corp: Cleveland Electric Illuminating Company,Ohio,RFC,,"107,833",severe weather,40.367474,-82.996216,,
576,Suspected Physical Attack,2011,8/25/2011,12:01 AM,8/25/2011,12:01 AM,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical",45.367584,-68.972168,,
577,Severe Weather,2011,8/24/2011,2:51 PM,8/24/2011,10:00 PM,American Electric Power (AEP),"Arkansas, Louisiana, Texas",SPP,,"53,064",severe weather,34.799999,-92.199997,,
578,Public Appeal to Reduce Electricity Usage,2011,8/24/2011,1:20 PM,8/29/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal,31,-100,,
579,Severe Weather,2011,8/24/2011,7:45 AM,8/25/2011,6:00 AM,CenterPoint Energy,Texas,TRE,485,"79,000",severe weather,31,-100,,
580,Public Appeal to Reduce Electricity Usage,2011,8/23/2011,3:43 PM,8/23/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal,31,-100,,
581,Public Appeal to Reduce Electricity Usage,2011,8/23/2011,10:30 AM,8/23/2011,4:54 PM,Southwestern Public Service Company,New Mexico,SPP,0,0,public appeal,34.307144,-106.018066,,
582,Earthquake,2011,8/23/2011,1:51 PM,8/23/2011,1:51 PM,Dominion Virginia Power,Virginia,RFC,0,0,earthquake,37.926868,-78.024902,,
583,Suspected Physical Attack,2011,8/22/2011,10:05 AM,8/22/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
584,Severe Weather,2011,8/21/2011,10:45 PM,8/23/2011,10:45 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"2,200","931,000",severe weather,18.2208,66.5901,,
585,Severe Weather,2011,8/20/2011,5:42 PM,8/23/2011,8:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"65,000",severe weather,44.182205,-84.506836,,
586,Suspected Physical Attack,2011,8/18/2011,9:51 AM,8/18/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
587,Vandalism,2011,8/15/2011,2:05 AM,8/15/2011,3:40 AM,PacifiCorp,Utah,WECC,0,0,vandalism,39.41922,-111.950684,,
588,Severe Weather,2011,8/13/2011,4:41 PM,8/14/2011,7:00 PM,LG&E and KU Energy LLC,Kentucky,SERC,UNK,"181,700",severe weather,37.839333,-84.27002,,
589,Vandalism,2011,8/9/2011,10:26 AM,8/9/2011,5:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
590,Severe Weather,2011,8/8/2011,8:58 PM,8/10/2011,4:30 PM,Oklahoma Gas & Electric,Oklahoma,SPP,,"54,000",severe weather,36.084621,-96.921387,,
591,Vandalism,2011,8/8/2011,9:35 AM,8/8/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
592,Electrical System Separation (Islanding),2011,8/8/2011,7:36 PM,8/9/2011,12:00 PM,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,"14,500",islanding,36.084621,-96.921387,,
593,Suspected Physical Attack,2011,8/8/2011,9:30 AM,8/8/2011,9:30 AM,Dayton Power & Light,Ohio,RFC,0,0,"vandalism, physical",40.367474,-82.996216,,
594,Public Appeal to Reduce Electricity Usage,2011,8/4/2011,10:30 AM,8/4/2011,4:00 PM,American Electric Power (AEP),"Arkansas, Oklahoma, Texas",SPP,,,public appeal,34.799999,-92.199997,,
595,Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:29 PM,8/3/2011,11:40 PM,Grand River Dam Authority,Oklahoma,SPP,300,,public appeal,36.084621,-96.921387,,
596,Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:30 PM,8/3/2011,9:00 PM,Entergy,Arkansas,SPP,0,0,public appeal,34.799999,-92.199997,,
597,Fuel Supply Deficiency (Coal),2011,8/3/2011,10:00 AM,8/19/2011,10:00 AM,AES Somerset LLC,New York,NPCC,675,UNK,"fuel supply emergency, coal",43,-75,,
598,Severe Weather,2011,8/2/2011,9:30 PM,8/3/2011,7:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"71,500",severe weather,40,-89,,
599,Public Appeal to Reduce Electricity Usage,2011,8/2/2011,10:15 AM,8/3/2011,9:16 AM,Oklahoma Gas & Electric,Oklahoma,SPP,,,public appeal,36.084621,-96.921387,,
600,Public Appeal to Reduce Electricity Usage,2011,8/1/2011,3:00 PM,8/5/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal,31,-100,,
601,Vandalism,2011,8/1/2011,2:18 PM,8/1/2011,2:18 PM,PacificCorp,Oregon,WECC,,,vandalism,44,-120.5,,
602,Vandalism,2011,7/29/2011,11:46 AM,7/29/2011,5:00 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
603,Severe Weather,2011,7/29/2011,8:45 PM,8/1/2011,4:24 AM,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,RFC,,"67,900",severe weather,39.833851,-74.871826,,
604,Vandalism,2011,7/28/2011,7:25 PM,7/28/2011,7:25 PM,City of Tacoma (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
605,Vandalism,2011,7/28/2011,1:32 PM,7/28/2011,1:32 PM,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,,vandalism,40.273502,-86.126976,,
606,Severe Weather,2011,7/28/2011,12:14 AM,7/29/2011,12:00 PM,Exelon Corporation/ComEd,Indiana,RFC,UNK,"201,000",severe weather,40.273502,-86.126976,,
607,Fuel Supply Deficiency (Coal),2011,7/28/2011,7:26 AM,7/29/2011,7:26 AM,Owensboro Municipal Utilities,Kentucky,SERC,,,"fuel supply emergency, coal",37.839333,-84.27002,,
608,Vandalism,2011,7/27/2011,12:07 PM,7/27/2011,12:08 PM,Tacoma Power (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
609,Vandalism,2011,7/26/2011,12:01 PM,7/26/2011,12:01 PM,Western Farmers Electric Cooperative,Oklahoma,SPP,0,0,vandalism,36.084621,-96.921387,,
610,Vandalism,2011,7/24/2011,2:34 PM,7/24/2011,3:47 PM,Public Service of NH (Northeast Utilities),New Hampshire,NPCC,0,0,vandalism,44,-71.5,,
611,Severe Weather,2011,7/23/2011,2:30 AM,7/24/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000",severe weather,40,-89,,
612,Public Appeal to Reduce Electricity Usage,2011,7/22/2011,11:00 AM,7/22/2011,6:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,,,public appeal,43,-75,,
613,Load Shed,2011,7/22/2011,11:34 AM,7/22/2011,5:26 PM,PJM Interconnection,Ohio,RFC,206,"23,000",load shedding,40.367474,-82.996216,,
614,Public Appeal to Reduce Electricity Usage,2011,7/21/2011,1:00 PM,7/21/2011,3:00 PM,City Water Light and Power,Illinois,SERC,,,public appeal,40,-89,,
615,Public Appeal to Reduce Electricity Usage,2011,7/21/2011,12:32 PM,7/22/2011,6:30 AM,Consumers Energy,Michigan,RFC,"8,881",,public appeal,44.182205,-84.506836,,
616,Vandalism,2011,7/20/2011,9:10 AM,7/20/2011,4:30 PM,Tacoma Power (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
617,Vandalism,2011,7/19/2011,11:45 AM,7/19/2011,3:00 PM,Central Maine Power Company,Maine,NPCC,,,vandalism,45.367584,-68.972168,,
618,Severe Weather,2011,7/18/2011,5:00 PM,7/24/2011,1:30 PM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,,"197,166",severe weather,44.182205,-84.506836,,
619,Public Appeal to Reduce Electricity Usage,2011,7/14/2011,11:00 AM,7/14/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal,31,-100,,
620,Load Shed,2011,7/13/2011,5:19 PM,7/13/2011,10:03 PM,Public Service Company of Colorado,Colorado,WECC,580,,load shedding,39.113014,-105.358887,,
621,Suspected Physical Attack,2011,7/12/2011,8:20 PM,7/12/2011,9:30 PM,Gen On,California,WECC,UNK,UNK,"vandalism, physical",36.778259,-119.417931,,
622,Vandalism,2011,7/12/2011,12:00 PM,7/12/2011,12:00 PM,Central Maine Power Company,Maine,NPCC,,0,vandalism,45.367584,-68.972168,,
623,Severe Weather,2011,7/11/2011,2:27 PM,7/12/2011,3:50 PM,American Electric Power (AEP),"Indiana, Michigan, Ohio",RFC,UNK,"120,000",severe weather,40.273502,-86.126976,,
624,Vandalism,2011,7/11/2011,1:30 PM,7/11/2011,1:30 PM,Central Maine Power Company,Maine,NPCC,,0,vandalism,45.367584,-68.972168,,
625,Vandalism,2011,7/11/2011,1:13 PM,7/11/2011,1:13 PM,Duke Energy,Ohio,RFC,0,0,vandalism,40.367474,-82.996216,,
626,Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,10:25 AM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"103,000",severe weather,44.182205,-84.506836,,
627,Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"500,000",severe weather,40,-89,,
628,Severe Weather,2011,7/11/2011,11:15 AM,7/12/2011,8:15 AM,Consumers Energy,Michigan,RFC,UNK,"85,000",severe weather,44.182205,-84.506836,,
629,Vandalism,2011,7/8/2011,10:00 AM,7/8/2011,10:00 AM,Minnesota Power,Minnesota,MRO,0,0,vandalism,46.39241,-94.63623,,
630,Suspected Cyber Attack,2011,7/8/2011,10:00 AM,7/11/2011,9:00 AM,PJM Interconnection,Pennsylvania,RFC,UNK,UNK,"vandalism, cyber",41.203323,-77.194527,,
